DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
05/16/2018,19260516901,ORDINARY DIVIDEND (O),,O,,,7.08,,,,
05/16/2018,19260610226,QUALIFIED DIVIDEND (ABT),,ABT,,,4.20,,,,
05/10/2018,19225830952,QUALIFIED DIVIDEND (LOW),,LOW,,,6.15,,,,
05/02/2018,19167787867,QUALIFIED DIVIDEND (GIS),,GIS,,,18.62,,,,
05/02/2018,19167523990,QUALIFIED DIVIDEND (VZ),,VZ,,,12.98,,,,
05/02/2018,19167079075,QUALIFIED DIVIDEND (T),,T,,,31.00,,,,
05/01/2018,19155581985,QUALIFIED DIVIDEND (TD),,TD,,,11.50,,,,
04/24/2018,19085081722,QUALIFIED DIVIDEND (MKC),,MKC,,,5.72,,,,
04/17/2018,19046550968,QUALIFIED DIVIDEND (SRE),,SRE,,,17.01,,,,
04/16/2018,19037827526,ORDINARY DIVIDEND (O),,O,,,7.05,,,,
04/12/2018,19019869558,QUALIFIED DIVIDEND (PM),,PM,,,32.10,,,,
04/11/2018,19012092038,QUALIFIED DIVIDEND (MO),,MO,,,31.50,,,,
04/03/2018,18949004165,QUALIFIED DIVIDEND (GPC),,GPC,,,17.28,,,,
04/03/2018,18949111824,QUALIFIED DIVIDEND (ADP),,ADP,,,11.34,,,,
03/26/2018,18847176136,QUALIFIED DIVIDEND (KHC),,KHC,,,13.75,,,,
03/21/2018,18814293520,QUALIFIED DIVIDEND (D),,D,,,30.06,,,,
03/20/2018,18803946400,QUALIFIED DIVIDEND (VFC),,VFC,,,18.86,,,,
03/16/2018,18785790583,ORDINARY DIVIDEND (O),,O,,,7.01,,,,
03/16/2018,18785916195,QUALIFIED DIVIDEND (NEE),,NEE,,,17.76,,,,
02/22/2018,2868423385,ORDINARY DIVIDEND (LNT),,LNT,,,-0.02,,,,
02/21/2018,2867280788,ORDINARY DIVIDEND (HCN),,HCN,,,18.27,,,,
02/15/2018,2867011700,ORDINARY DIVIDEND (O),,O,,,6.57,,,,
02/15/2018,2867011673,ORDINARY DIVIDEND (NNN),,NNN,,,13.30,,,,
