DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
12/23/2019,24236135111,QUALIFIED DIVIDEND (D),,D,,,50.63,---,,,,
12/23/2019,24236260637,QUALIFIED DIVIDEND (VFC),,VFC,,,20.49,---,,,,
12/20/2019,24218926978,QUALIFIED DIVIDEND (DUK),,DUK,,,28.22,---,,,,
12/20/2019,24206760276,QUALIFIED DIVIDEND (KTB),,KTB,,,3.36,---,,,,
12/19/2019,24184729352,QUALIFIED DIVIDEND (HD),,HD,,,8.16,---,,,,
12/17/2019,24159048464,QUALIFIED DIVIDEND (NEE),,NEE,,,29.94,---,,,,
12/16/2019,24140045551,ORDINARY DIVIDEND (O),,O,,,7.82,---,,,,
12/13/2019,24122974256,QUALIFIED DIVIDEND (MSFT),,MSFT,,,17.74,---,,,,
12/11/2019,24093435274,QUALIFIED DIVIDEND (TGT),,TGT,,,10.79,---,,,,
12/03/2019,24013434277,QUALIFIED DIVIDEND (WEC),,WEC,,,22.84,---,,,,
11/26/2019,23939102161,ORDINARY DIVIDEND (WELL),,WELL,,,19.66,---,,,,
11/19/2019,23889022205,QUALIFIED DIVIDEND (TXN),,TXN,,,10.11,---,,,,
11/18/2019,23877758831,ORDINARY DIVIDEND (O),,O,,,7.80,---,,,,
11/18/2019,23877735774,QUALIFIED DIVIDEND (ABT),,ABT,,,9.74,---,,,,
11/18/2019,23877814873,QUALIFIED DIVIDEND (ETN),,ETN,,,10.94,---,,,,
11/18/2019,23877621838,QUALIFIED DIVIDEND (HRL),,HRL,,,15.14,---,,,,
11/18/2019,23877613707,QUALIFIED DIVIDEND (LNT),,LNT,,,11.14,---,,,,
11/15/2019,23864650464,QUALIFIED DIVIDEND (AAPL),,AAPL,,,7.79,---,,,,
11/06/2019,23783329828,QUALIFIED DIVIDEND (CBRL),,CBRL,,,9.47,---,,,,
11/04/2019,23758629240,QUALIFIED DIVIDEND (T),,T,,,51.91,---,,,,
11/04/2019,23758510316,QUALIFIED DIVIDEND (VZ),,VZ,,,28.75,---,,,,
11/04/2019,23751593146,QUALIFIED DIVIDEND (CVS),,CVS,,,10.00,---,,,,
11/01/2019,23744048289,QUALIFIED DIVIDEND (TD),,TD,,,13.07,---,,,,
10/16/2019,23602402313,ORDINARY DIVIDEND (O),,O,,,7.78,---,,,,
10/16/2019,23602299960,QUALIFIED DIVIDEND (BCE),,BCE,,,30.99,---,,,,
10/10/2019,23565289893,QUALIFIED DIVIDEND (ITW),,ITW,,,17.48,---,,,,
10/02/2019,23494074704,QUALIFIED DIVIDEND (ADP),,ADP,,,14.67,---,,,,
10/02/2019,23494082217,QUALIFIED DIVIDEND (GPC),,GPC,,,19.14,---,,,,
09/25/2019,23387629221,QUALIFIED DIVIDEND (DUK),,DUK,,,27.94,---,,,,
09/23/2019,23365820592,QUALIFIED DIVIDEND (D),,D,,,50.07,---,,,,
09/23/2019,23365762888,QUALIFIED DIVIDEND (VFC),,VFC,,,18.27,---,,,,
09/20/2019,23348575924,QUALIFIED DIVIDEND (KTB),,KTB,,,3.36,---,,,,
09/19/2019,23344271884,QUALIFIED DIVIDEND (HD),,HD,,,8.16,---,,,,
09/17/2019,23326589645,QUALIFIED DIVIDEND (NEE),,NEE,,,29.77,---,,,,
09/16/2019,23315711115,ORDINARY DIVIDEND (O),,O,,,7.73,---,,,,
09/13/2019,23303310462,QUALIFIED DIVIDEND (MSFT),,MSFT,,,15.95,---,,,,
09/11/2019,23280069312,QUALIFIED DIVIDEND (TGT),,TGT,,,10.73,---,,,,
09/04/2019,23219848234,QUALIFIED DIVIDEND (WEC),,WEC,,,22.71,---,,,,
08/27/2019,23142484998,ORDINARY DIVIDEND (WELL),,WELL,,,19.47,---,,,,
08/19/2019,23094036451,QUALIFIED DIVIDEND (ETN),,ETN,,,10.84,---,,,,
08/16/2019,23083040387,ORDINARY DIVIDEND (O),,O,,,7.71,---,,,,
08/16/2019,23083475348,QUALIFIED DIVIDEND (AAPL),,AAPL,,,7.76,---,,,,
08/16/2019,23082968666,QUALIFIED DIVIDEND (ABT),,ABT,,,9.70,---,,,,
08/16/2019,23082893009,QUALIFIED DIVIDEND (HRL),,HRL,,,15.06,---,,,,
08/16/2019,23082842355,QUALIFIED DIVIDEND (LNT),,LNT,,,11.07,---,,,,
08/13/2019,23050241678,QUALIFIED DIVIDEND (TXN),,TXN,,,8.59,---,,,,
08/06/2019,22997160118,QUALIFIED DIVIDEND (CBRL),,CBRL,,,9.24,---,,,,
08/05/2019,22985282784,QUALIFIED DIVIDEND (CBRL),,CBRL,,,21.31,---,,,,
08/02/2019,22973121135,QUALIFIED DIVIDEND (T),,T,,,51.15,---,,,,
08/02/2019,22973040061,QUALIFIED DIVIDEND (VZ),,VZ,,,27.86,---,,,,
08/02/2019,22964825818,QUALIFIED DIVIDEND (CVS),,CVS,,,10.00,---,,,,
08/01/2019,22960465818,QUALIFIED DIVIDEND (TD),,TD,,,12.95,---,,,,
07/16/2019,22822777905,ORDINARY DIVIDEND (O),,O,,,7.69,---,,,,
07/16/2019,22822537994,QUALIFIED DIVIDEND (BCE),,BCE,,,30.97,---,,,,
07/11/2019,22793773231,QUALIFIED DIVIDEND (ITW),,ITW,,,16.23,---,,,,
07/02/2019,22724922923,QUALIFIED DIVIDEND (ADP),,ADP,,,14.60,---,,,,
07/02/2019,22723971280,QUALIFIED DIVIDEND (GPC),,GPC,,,19.00,---,,,,
06/21/2019,22598354030,QUALIFIED DIVIDEND (DUK),,DUK,,,27.13,---,,,,
06/21/2019,22597457556,QUALIFIED DIVIDEND (D),,D,,,49.48,---,,,,
06/21/2019,22596540560,QUALIFIED DIVIDEND (VFC),,VFC,,,21.54,---,,,,
06/20/2019,22579571191,QUALIFIED DIVIDEND (HD),,HD,,,8.16,---,,,,
06/18/2019,22559560459,QUALIFIED DIVIDEND (NEE),,NEE,,,29.59,---,,,,
06/17/2019,22549467586,ORDINARY DIVIDEND (O),,O,,,7.64,---,,,,
06/14/2019,22537755886,QUALIFIED DIVIDEND (MSFT),,MSFT,,,15.89,---,,,,
06/11/2019,22508577345,QUALIFIED DIVIDEND (TGT),,TGT,,,10.33,---,,,,
06/04/2019,22447215736,QUALIFIED DIVIDEND (WEC),,WEC,,,22.54,---,,,,
05/31/2019,22392681529,ORDINARY DIVIDEND (WELL),,WELL,,,19.26,---,,,,
05/29/2019,22373392671,CASH IN LIEU OF FRACTIONAL SHARES (KTB),,KTB,,,1.15,---,,,,
05/21/2019,22332433423,QUALIFIED DIVIDEND (TXN),,TXN,,,8.53,---,,,,
05/20/2019,22323960207,QUALIFIED DIVIDEND (ETN),,ETN,,,10.75,---,,,,
05/17/2019,22313484162,QUALIFIED DIVIDEND (AAPL),,AAPL,,,7.73,---,,,,
05/16/2019,22303037153,QUALIFIED DIVIDEND (ABT),,ABT,,,4.88,---,,,,
