DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
05/16/2019,22303166713,QUALIFIED DIVIDEND (LNT),,LNT,,,10.99,---,,,,
05/16/2019,22302955897,ORDINARY DIVIDEND (O),,O,,,7.62,---,,,,
05/16/2019,22302740808,QUALIFIED DIVIDEND (HRL),,HRL,,,14.98,---,,,,
05/07/2019,22235344286,QUALIFIED DIVIDEND (CBRL),,CBRL,,,8.82,---,,,,
05/03/2019,22204430881,QUALIFIED DIVIDEND (CVS),,CVS,,,10.00,---,,,,
05/02/2019,22201162208,QUALIFIED DIVIDEND (T),,T,,,50.31,---,,,,
05/02/2019,22201550166,QUALIFIED DIVIDEND (VZ),,VZ,,,27.57,---,,,,
05/01/2019,22185738641,QUALIFIED DIVIDEND (TD),,TD,,,12.57,---,,,,
04/16/2019,22065190495,QUALIFIED DIVIDEND (BCE),,BCE,,,29.82,---,,,,
04/16/2019,22065075598,ORDINARY DIVIDEND (O),,O,,,7.60,---,,,,
04/11/2019,22036089138,QUALIFIED DIVIDEND (ITW),,ITW,,,16.12,---,,,,
04/02/2019,21957117200,QUALIFIED DIVIDEND (GPC),,GPC,,,18.88,---,,,,
04/02/2019,21957382688,QUALIFIED DIVIDEND (ADP),,ADP,,,14.53,---,,,,
03/28/2019,21878224844,QUALIFIED DIVIDEND (HD),,HD,,,8.16,---,,,,
03/25/2019,21839805682,QUALIFIED DIVIDEND (DUK),,DUK,,,26.86,---,,,,
03/25/2019,21839141485,QUALIFIED DIVIDEND (ETN),,ETN,,,10.65,---,,,,
03/21/2019,21816319639,QUALIFIED DIVIDEND (D),,D,,,48.88,---,,,,
03/19/2019,21794978111,QUALIFIED DIVIDEND (VFC),,VFC,,,21.41,---,,,,
03/18/2019,21785413853,QUALIFIED DIVIDEND (NEE),,NEE,,,29.40,---,,,,
03/18/2019,21785088159,ORDINARY DIVIDEND (O),,O,,,7.55,---,,,,
03/15/2019,21773254569,QUALIFIED DIVIDEND (MSFT),,MSFT,,,15.83,---,,,,
03/12/2019,21742777518,QUALIFIED DIVIDEND (TGT),,TGT,,,10.24,---,,,,
03/04/2019,21676145723,QUALIFIED DIVIDEND (WEC),,WEC,,,22.37,---,,,,
03/04/2019,21673394140,ORDINARY DIVIDEND (WELL),,WELL,,,19.04,---,,,,
02/19/2019,21555546470,QUALIFIED DIVIDEND (LNT),,LNT,,,10.90,---,,,,
02/19/2019,21555430691,QUALIFIED DIVIDEND (ABT),,ABT,,,4.86,---,,,,
02/19/2019,21555370055,ORDINARY DIVIDEND (O),,O,,,7.53,---,,,,
02/19/2019,21555178886,QUALIFIED DIVIDEND (HRL),,HRL,,,14.91,---,,,,
02/15/2019,21543750108,QUALIFIED DIVIDEND (AAPL),,AAPL,,,7.30,---,,,,
02/12/2019,21516300639,QUALIFIED DIVIDEND (TXN),,TXN,,,8.47,---,,,,
02/06/2019,21476547396,QUALIFIED DIVIDEND (LOW),,LOW,,,7.30,---,,,,
02/05/2019,21464063824,QUALIFIED DIVIDEND (CBRL),,CBRL,,,8.75,---,,,,
02/04/2019,21454968058,QUALIFIED DIVIDEND (T),,T,,,49.46,---,,,,
02/04/2019,21455374799,QUALIFIED DIVIDEND (VZ),,VZ,,,27.26,---,,,,
02/04/2019,21454880029,QUALIFIED DIVIDEND (GIS),,GIS,,,19.26,---,,,,
02/01/2019,21440921237,QUALIFIED DIVIDEND (TD),,TD,,,11.52,---,,,,
01/16/2019,21314558464,QUALIFIED DIVIDEND (BCE),,BCE,,,14.20,---,,,,
01/16/2019,21314462943,ORDINARY DIVIDEND (O),,O,,,7.35,---,,,,
01/11/2019,21284875329,QUALIFIED DIVIDEND (ITW),,ITW,,,16.00,---,,,,
01/03/2019,21216523903,QUALIFIED DIVIDEND (GPC),,GPC,,,17.69,---,,,,
01/03/2019,21216408994,QUALIFIED DIVIDEND (ADP),,ADP,,,14.44,---,,,,
***END OF FILE***
