id,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AFTER TAX,86.13,23.61,61.96,102.11,25.11,93.68,86.89,40.80,101.33,87.55,41.31,129.06
ROTH IRA,40.81,120.31,30.33,36.98,142.04,128.39,55.01,158.80,130.35,37.75,161.58,139.23
IRA,114.97,130.50,87.44,122.00,132.98,208.75,59.96,198.88,228.92,82.96,183.44,212.29
TOTAL,241.91,274.42,179.73,261.09,300.13,430.82,201.86,398.48,460.60,208.26,386.33,480.58
