DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
01/04/2019,21230636856,QUALIFIED DIVIDEND (KMB),,KMB,,,20.37,,,,
01/04/2019,21230636858,Bought 0.182 KMB @ 111.6311,0.182,KMB,111.6311,,-20.37,,,,
01/08/2019,21254113133,QUALIFIED DIVIDEND (PEP),,PEP,,,29.24,,,,
01/08/2019,21254113136,Bought 0.266 PEP @ 110.0244,0.266,PEP,110.0244,,-29.24,,,,
01/15/2019,21305653495,QUALIFIED DIVIDEND (MKC),,MKC,,,5.70,,,,
01/15/2019,21305653496,Bought 0.04 MKC @ 141.023,0.04,MKC,141.023,,-5.70,,,,
01/23/2019,21350188657,QUALIFIED DIVIDEND (CSCO),,CSCO,,,7.59,,,,
01/23/2019,21350188658,Bought 0.167 CSCO @ 45.5079,0.167,CSCO,45.5079,,-7.59,,,,
02/04/2019,21455374837,QUALIFIED DIVIDEND (VZ),,VZ,,,14.96,,,,
02/04/2019,21455374838,Bought 0.276 VZ @ 54.1371,0.276,VZ,54.1371,,-14.96,,,,
02/15/2019,21543750211,QUALIFIED DIVIDEND (AAPL),,AAPL,,,11.07,,,,
02/15/2019,21543750212,Bought 0.065 AAPL @ 170.3607,0.065,AAPL,170.3607,,-11.07,,,,
02/25/2019,21593700517,QUALIFIED DIVIDEND (SBUX),,SBUX,,,15.48,,,,
02/25/2019,21593700518,Bought 0.217 SBUX @ 71.4085,0.217,SBUX,71.4085,,-15.48,,,,
03/12/2019,21742826085,QUALIFIED DIVIDEND (CVX),,CVX,,,19.58,,,,
03/12/2019,21742826086,Bought 0.157 CVX @ 124.6216,0.157,CVX,124.6216,,-19.58,,,,
03/13/2019,21751996821,QUALIFIED DIVIDEND (MMM),,MMM,,,7.25,,,,
03/13/2019,21751996823,Bought 0.035 MMM @ 206.6422,0.035,MMM,206.6422,,-7.25,,,,
03/13/2019,21751747561,QUALIFIED DIVIDEND (JNJ),,JNJ,,,31.21,,,,
