DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
01/02/2018,2785560048,REDEMPTION (PM),1,PM,,,0.00,,,,
01/02/2018,2785560056,Bought 1 PM @ 104.5945,1,PM,104.5945,,-104.59,,,,
01/02/2018,2785560040,REDEMPTION (PM),1,PM,,,0.00,,,,
01/03/2018,2786133196,MISCELLANEOUS JOURNAL ENTRY (KMB),,KMB,,,19.40,,,,
01/03/2018,2786133181,ORDINARY DIVIDEND (KMB),,KMB,,,19.40,,,,
01/03/2018,2786133188,MISCELLANEOUS JOURNAL ENTRY (KMB),,KMB,,,-19.40,,,,
01/04/2018,2785975894,REDEMPTION (PM),1,PM,,,0.00,,,,
01/04/2018,2785975892,REDEMPTION (PM),1,PM,,,0.00,,,,
01/08/2018,2786943799,MISCELLANEOUS JOURNAL ENTRY (PEP),,PEP,,,16.10,,,,
01/08/2018,2786943784,ORDINARY DIVIDEND (PEP),,PEP,,,16.10,,,,
01/08/2018,2786943791,MISCELLANEOUS JOURNAL ENTRY (PEP),,PEP,,,-16.10,,,,
01/11/2018,2782743058,MISCELLANEOUS JOURNAL ENTRY (PM),,PM,,,39.59,,,,
01/11/2018,2782742922,ORDINARY DIVIDEND (PM),,PM,,,39.59,,,,
01/11/2018,2782743048,MISCELLANEOUS JOURNAL ENTRY (PM),,PM,,,-39.59,,,,
01/12/2018,2782300592,REDEMPTION (D),1,D,,,0.00,,,,
01/12/2018,2782300600,Bought 1 D @ 76.0548,1,D,76.0548,,-76.05,,,,
01/12/2018,2782300588,REDEMPTION (D),1,D,,,0.00,,,,
01/16/2018,2783201614,Sold 92 GE @ 18.005,92,GE,18.005,4.95,1651.47,,,,
01/17/2018,2783103744,REDEMPTION (D),1,D,,,0.00,,,,
01/17/2018,2783103724,REDEMPTION (D),1,D,,,0.00,,,,
01/18/2018,2783969798,MISCELLANEOUS JOURNAL ENTRY,,,,,-1651.47,,,,
01/25/2018,2785944575,MISCELLANEOUS JOURNAL ENTRY (GE),,GE,,,11.04,,,,
01/25/2018,2785944560,ORDINARY DIVIDEND (GE),,GE,,,11.04,,,,
01/25/2018,2785944567,MISCELLANEOUS JOURNAL ENTRY (GE),,GE,,,-11.04,,,,
01/31/2018,2875827766,MISCELLANEOUS JOURNAL ENTRY,,,,,0.00,,,,
02/01/2018,2873932521,MISCELLANEOUS JOURNAL ENTRY (VZ),,VZ,,,14.16,,,,
02/01/2018,2873932497,ORDINARY DIVIDEND (VZ),,VZ,,,14.16,,,,
02/01/2018,2873932515,MISCELLANEOUS JOURNAL ENTRY (VZ),,VZ,,,-14.16,,,,
02/05/2018,2876838775,Sold 15 XOM @ 80.5405,15,XOM,80.5405,4.95,1203.14,,,,
02/07/2018,2876943489,MISCELLANEOUS JOURNAL ENTRY,,,,,-1203.14,,,,
02/12/2018,2877106007,REDEMPTION (KO),1,KO,,,0.00,,,,
02/12/2018,2877106031,Bought 1 KO @ 43.8545,1,KO,43.8545,,-43.85,,,,
02/12/2018,2877105993,REDEMPTION (KO),1,KO,,,0.00,,,,
02/14/2018,2876895621,REDEMPTION (KO),1,KO,,,0.00,,,,
02/14/2018,2876895604,REDEMPTION (KO),1,KO,,,0.00,,,,
02/15/2018,2876840547,MISCELLANEOUS JOURNAL ENTRY (AAPL),,AAPL,,,9.45,,,,
02/15/2018,2876785874,ORDINARY DIVIDEND (AAPL),,AAPL,,,9.45,,,,
02/15/2018,2876785884,MISCELLANEOUS JOURNAL ENTRY (AAPL),,AAPL,,,-9.45,,,,
02/20/2018,2875567206,MISCELLANEOUS JOURNAL ENTRY,,,,,-28.75,,,,
02/20/2018,2875560585,MISCELLANEOUS JOURNAL ENTRY,,,,,28.75,,,,
02/20/2018,2875564203,MISCELLANEOUS JOURNAL ENTRY,,,,,100.07,,,,
02/21/2018,2879275923,MISCELLANEOUS JOURNAL ENTRY,,,,,-128.82,,,,
02/26/2018,18548595214,TRANSFER OF SECURITY OR OPTION IN (KO),65,KO,,,0.00,,,,
02/26/2018,18556965688,TRANSFER OF SECURITY OR OPTION IN (PM),38,PM,,,0.00,,,,
02/26/2018,18557060244,TRANSFER OF SECURITY OR OPTION IN (JNJ),34,JNJ,,,0.00,,,,
02/26/2018,18558323652,TRANSFER OF SECURITY OR OPTION IN (D),40,D,,,0.00,,,,
02/26/2018,18558899568,TRANSFER OF SECURITY OR OPTION IN (CVX),16,CVX,,,0.00,,,,
02/26/2018,18559192660,TRANSFER OF SECURITY OR OPTION IN (KMB),20,KMB,,,0.00,,,,
02/26/2018,18560742150,TRANSFER OF SECURITY OR OPTION IN (VZ),24,VZ,,,0.00,,,,
02/26/2018,18560772800,TRANSFER OF SECURITY OR OPTION IN (HYH),1,HYH,,,0.00,,,,
02/26/2018,18568896426,TRANSFER OF SECURITY OR OPTION IN (AAPL),15,AAPL,,,0.00,,,,
02/26/2018,18573073772,TRANSFER OF SECURITY OR OPTION IN (PEP),20,PEP,,,0.00,,,,
02/26/2018,18576579546,TRANSFER OF SECURITY OR OPTION IN (MSFT),28,MSFT,,,0.00,,,,
02/26/2018,18578504466,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,,,,,3039.41,,,,
02/28/2018,18633314399,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,,,,,0.01,,,,
03/08/2018,18723639001,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,,,,,11.76,,,,
03/12/2018,18744897944,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,,,,,17.92,,,,
03/13/2018,18748977534,QUALIFIED DIVIDEND (JNJ),,JNJ,,,28.56,,,,
03/20/2018,18797934431,QUALIFIED DIVIDEND (D),,D,,,33.40,,,,
04/02/2018,18913781995,QUALIFIED DIVIDEND (PEP),,PEP,,,16.10,,,,
04/02/2018,18914493907,QUALIFIED DIVIDEND (KO),,KO,,,25.35,,,,
04/03/2018,18938620132,QUALIFIED DIVIDEND (KMB),,KMB,,,20.00,,,,
04/12/2018,19019869570,QUALIFIED DIVIDEND (PM),,PM,,,40.66,,,,
04/12/2018,19019869571,Bought 0.403 PM @ 100.9379,0.403,PM,100.9379,,-40.66,,,,
04/24/2018,19083869964,Sold 38 PM @ 81.92,38,PM,81.92,4.95,3107.94,0.07,,,
04/24/2018,19085750332,Sold 0.403 PM @ 81.92,0.403,PM,81.92,,33.01,,,,
05/02/2018,19166185632,Bought 11 PEP @ 97.9145,11,PEP,97.9145,4.95,-1082.01,,,,
05/02/2018,19167524023,QUALIFIED DIVIDEND (VZ),,VZ,,,14.16,,,,
05/02/2018,19167524024,Bought 0.294 VZ @ 48.1647,0.294,VZ,48.1647,,-14.16,,,,
05/18/2018,19277857198,Bought 10 MKC @ 101.5082,10,MKC,101.5082,4.95,-1020.03,,,,
05/18/2018,19278843248,QUALIFIED DIVIDEND (AAPL),,AAPL,,,10.95,,,,
05/18/2018,19278843249,Bought 0.058 AAPL @ 187.2279,0.058,AAPL,187.2279,,-10.95,,,,
05/29/2018,19329989265,Bought 5 MMM @ 195.86,5,MMM,195.86,4.95,-984.25,,,,
06/12/2018,19466101429,QUALIFIED DIVIDEND (CVX),,CVX,,,17.92,,,,
06/12/2018,19466101430,Bought 0.14 CVX @ 127.8593,0.14,CVX,127.8593,,-17.92,,,,
06/13/2018,19473814933,Bought 23 CSCO @ 44.3635,23,CSCO,44.3635,4.95,-1025.31,,,,
06/13/2018,19474553531,QUALIFIED DIVIDEND (JNJ),,JNJ,,,30.60,,,,
06/13/2018,19474553532,Bought 0.248 JNJ @ 123.5069,0.248,JNJ,123.5069,,-30.60,,,,
06/15/2018,19497322794,QUALIFIED DIVIDEND (MSFT),,MSFT,,,11.76,,,,
06/15/2018,19497322795,Bought 0.117 MSFT @ 100.8883,0.117,MSFT,100.8883,,-11.76,,,,
06/20/2018,19531244061,Bought 20 SBUX @ 51.935,20,SBUX,51.935,4.95,-1043.65,,,,
06/21/2018,19542058383,QUALIFIED DIVIDEND (D),,D,,,33.40,,,,
06/21/2018,19542058384,Bought 0.501 D @ 66.6971,0.501,D,66.6971,,-33.40,,,,
